2021/03/15(15:51:06),-0.002,0.92,
2021/03/15(15:51:06),-0.001,0.16,
2021/03/15(15:51:07),-0.003,-0.33,
2021/03/15(15:51:07),-0.002,0.39,
2021/03/15(15:51:07),0.0,-0.89,
2021/03/15(15:51:07),0.0,-0.29,
2021/03/15(15:51:08),-0.0,-0.29,
2021/03/15(15:51:08),-0.001,-0.55,
2021/03/15(15:51:08),-0.001,-0.6,
2021/03/15(15:51:08),0.0,-0.47,
2021/03/15(15:51:08),0.004,0.5,
2021/03/15(15:51:09),-0.002,0.63,
2021/03/15(15:51:09),-0.001,0.33,
2021/03/15(15:51:09),-0.003,-0.73,
2021/03/15(15:51:09),-0.002,0.31,
2021/03/15(15:51:09),-0.001,0.16,
2021/03/15(15:51:10),-0.001,0.15,
2021/03/15(15:51:10),-0.0,-0.99,
2021/03/15(15:51:10),0.0,-0.39,
2021/03/15(15:51:10),-0.0,0.24,
2021/03/15(15:51:10),-0.001,0.36,
2021/03/15(15:51:11),-0.001,-0.85,
2021/03/15(15:51:11),-0.002,-0.84,
2021/03/15(15:51:11),0.0,0.73,
2021/03/15(15:51:11),0.001,0.2,
2021/03/15(15:51:11),-0.001,0.69,
2021/03/15(15:51:11),0.001,-0.73,
2021/03/15(15:51:12),0.001,0.28,
2021/03/15(15:51:12),0.001,0.84,
2021/03/15(15:51:12),-0.002,0.49,
2021/03/15(15:51:12),-0.002,-0.54,
2021/03/15(15:51:12),-0.002,-0.34,
2021/03/15(15:51:13),0.0,0.2,
2021/03/15(15:51:13),-0.002,0.91,
2021/03/15(15:51:13),-0.001,-0.42,
2021/03/15(15:51:13),-0.002,0.18,
2021/03/15(15:51:14),-0.002,0.34,
2021/03/15(15:51:14),-0.0,0.67,
2021/03/15(15:51:14),-0.001,-0.82,
2021/03/15(15:51:14),-0.005,-0.75,
2021/03/15(15:51:14),-0.003,-0.72,
2021/03/15(15:51:14),-0.003,-0.66,
2021/03/15(15:51:15),-0.003,-0.6,
2021/03/15(15:51:15),-0.003,0.4,
2021/03/15(15:51:15),-0.002,0.35,
2021/03/15(15:51:15),-0.001,-0.52,
2021/03/15(15:51:15),0.001,-0.89,
2021/03/15(15:51:16),-0.002,-0.36,
2021/03/15(15:51:16),0.0,-0.63,
2021/03/15(15:51:16),-0.003,-0.55,
2021/03/15(15:51:16),-0.0,-0.85,
2021/03/15(15:51:16),-0.001,0.1,
2021/03/15(15:51:17),-0.004,-0.63,
2021/03/15(15:51:17),-0.004,-0.53,
2021/03/15(15:51:17),-0.004,-0.07,
2021/03/15(15:51:17),-0.001,0.29,
2021/03/15(15:51:17),-0.001,0.79,
2021/03/15(15:51:18),-0.006,0.25,
2021/03/15(15:51:18),-0.004,0.58,
2021/03/15(15:51:18),-0.003,-1.0,
2021/03/15(15:51:18),-0.001,-0.3,
2021/03/15(15:51:18),-0.0,-0.54,
2021/03/15(15:51:19),-0.002,0.43,
2021/03/15(15:51:19),-0.003,0.36,
2021/03/15(15:51:19),-0.001,0.19,
2021/03/15(15:51:19),-0.001,-0.53,
2021/03/15(15:51:19),-0.004,0.59,
2021/03/15(15:51:20),-0.005,-0.65,
2021/03/15(15:51:20),-0.0,0.12,
2021/03/15(15:51:20),-0.0,0.89,
2021/03/15(15:51:20),-0.001,0.34,
2021/03/15(15:51:20),-0.003,0.19,
2021/03/15(15:51:20),-0.002,-0.55,
2021/03/15(15:51:21),-0.006,-0.39,
2021/03/15(15:51:21),-0.003,-0.81,
2021/03/15(15:51:21),-0.001,0.03,
2021/03/15(15:51:21),-0.0,0.98,
2021/03/15(15:51:21),-0.004,-0.96,
2021/03/15(15:51:22),0.0,-0.21,
2021/03/15(15:51:22),-0.003,0.91,
2021/03/15(15:51:22),-0.002,0.24,
2021/03/15(15:51:22),-0.004,0.21,
2021/03/15(15:51:22),-0.004,0.06,
2021/03/15(15:51:23),-0.002,0.03,
2021/03/15(15:51:23),-0.0,-0.68,
2021/03/15(15:51:23),-0.002,-0.46,
2021/03/15(15:51:23),-0.002,-0.83,
2021/03/15(15:51:23),-0.001,-0.11,
2021/03/15(15:51:24),-0.001,0.47,
2021/03/15(15:51:24),-0.002,-0.21,
2021/03/15(15:51:24),-0.005,0.16,
2021/03/15(15:51:24),-0.004,0.62,
2021/03/15(15:51:24),-0.001,-0.61,
2021/03/15(15:51:25),-0.003,0.03,
2021/03/15(15:51:25),-0.001,0.61,
2021/03/15(15:51:25),0.002,-0.34,
2021/03/15(15:51:25),-0.003,0.57,
2021/03/15(15:51:25),-0.0,0.55,
2021/03/15(15:51:26),-0.001,-0.06,
2021/03/15(15:51:26),-0.0,-0.79,
2021/03/15(15:51:26),-0.001,-0.07,
2021/03/15(15:51:26),-0.003,-0.68,
2021/03/15(15:51:26),-0.004,0.91,
2021/03/15(15:51:26),-0.001,0.52,
2021/03/15(15:51:27),-0.006,0.7,
2021/03/15(15:51:27),0.0,-0.61,
2021/03/15(15:51:27),0.001,0.99,
2021/03/15(15:51:27),-0.001,-0.65,
2021/03/15(15:51:27),-0.003,-0.57,
2021/03/15(15:51:28),0.0,-0.14,
2021/03/15(15:51:28),-0.002,0.5,
2021/03/15(15:51:28),-0.004,-0.77,
2021/03/15(15:51:28),-0.0,-0.95,
2021/03/15(15:51:28),0.0,0.11,
2021/03/15(15:51:29),-0.003,0.92,
2021/03/15(15:51:29),-0.001,-0.01,
2021/03/15(15:51:29),-0.001,-0.61,
2021/03/15(15:51:29),-0.003,-0.64,
2021/03/15(15:51:29),-0.002,-0.43,
2021/03/15(15:51:30),-0.001,0.28,
2021/03/15(15:51:30),-0.001,-0.9,
2021/03/15(15:51:30),0.002,0.76,
2021/03/15(15:51:30),0.001,-0.09,
2021/03/15(15:51:30),-0.003,0.11,
2021/03/15(15:51:31),-0.001,-0.74,
2021/03/15(15:51:31),-0.003,0.9,
2021/03/15(15:51:31),-0.002,0.64,
2021/03/15(15:51:31),0.002,-0.16,
2021/03/15(15:51:31),0.002,-0.59,
2021/03/15(15:51:31),0.0,0.79,
2021/03/15(15:51:32),-0.003,0.37,
2021/03/15(15:51:32),-0.0,0.61,
2021/03/15(15:51:32),-0.0,0.65,
2021/03/15(15:51:32),-0.001,0.32,
2021/03/15(15:51:32),-0.002,-0.46,
2021/03/15(15:51:33),-0.002,-0.53,
2021/03/15(15:51:33),-0.006,-0.38,
2021/03/15(15:51:33),-0.001,-0.81,
2021/03/15(15:51:33),-0.0,0.77,
2021/03/15(15:51:33),-0.001,-0.64,
2021/03/15(15:51:34),-0.002,-0.01,
2021/03/15(15:51:34),-0.001,0.59,
2021/03/15(15:51:34),-0.001,0.9,
2021/03/15(15:51:34),-0.001,-0.52,
2021/03/15(15:51:34),-0.005,-0.56,
2021/03/15(15:51:35),-0.003,0.5,
2021/03/15(15:51:35),-0.002,-0.05,
2021/03/15(15:51:35),0.0,0.31,
2021/03/15(15:51:35),0.0,-0.55,
2021/03/15(15:51:35),-0.003,-0.43,
2021/03/15(15:51:36),-0.004,0.28,
2021/03/15(15:51:36),-0.002,0.73,
2021/03/15(15:51:36),-0.001,-0.31,
2021/03/15(15:51:36),-0.002,0.03,
2021/03/15(15:51:36),-0.006,-0.25,
2021/03/15(15:51:37),-0.003,0.0,
2021/03/15(15:51:37),-0.004,-0.38,
2021/03/15(15:51:37),-0.001,-0.37,
2021/03/15(15:51:37),-0.007,-0.11,
2021/03/15(15:51:37),-0.002,0.35,
2021/03/15(15:51:37),-0.002,0.64,
2021/03/15(15:51:38),-0.003,0.63,
2021/03/15(15:51:38),-0.003,-0.48,
2021/03/15(15:51:38),-0.001,0.16,
2021/03/15(15:51:38),-0.002,-0.8,
2021/03/15(15:51:38),-0.004,-0.5,
2021/03/15(15:51:39),-0.003,0.41,
2021/03/15(15:51:39),-0.0,0.96,
2021/03/15(15:51:39),-0.002,0.01,
2021/03/15(15:51:39),-0.004,0.28,
2021/03/15(15:51:39),-0.002,-0.52,
2021/03/15(15:51:40),-0.001,-0.47,
2021/03/15(15:51:40),-0.002,0.29,
2021/03/15(15:51:40),-0.002,0.19,
2021/03/15(15:51:40),-0.002,-0.8,
2021/03/15(15:51:40),-0.003,-0.21,
2021/03/15(15:51:41),-0.003,-0.9,
2021/03/15(15:51:41),0.001,0.13,
2021/03/15(15:51:41),0.009,0.38,
2021/03/15(15:51:41),-0.157,-0.56,
2021/03/15(15:51:41),-0.243,0.93,
